idx, row, column, demarcated, area, solidity, eccentricity, equivalent_diameter, perimeter, degree, strength, betweenness
145, 581, 2023, False, 5157.0000, 0.9445, 0.9310, 81.0315, 323.2792, 43.0000, 38.6345, 0.0000
146, 760, 1145, False, 64070.0000, 0.8200, 0.8760, 285.6159, 1683.6164, 46.0000, 13.5750, 0.0238
147, 746, 2807, False, 28342.0000, 0.8239, 0.9838, 189.9636, 1555.7687, 76.0000, 41.9176, 0.0008
148, 574, 3289, False, 2299.0000, 0.9434, 0.9296, 54.1034, 217.6102, 95.0000, 87.2933, 0.0000
149, 580, 615, False, 5635.0000, 0.8970, 0.7333, 84.7036, 339.1615, 28.0000, 22.2751, 0.0000
150, 561, 3326, False, 513.0000, 0.9482, 0.9230, 25.5572, 100.8406, 98.0000, 89.0438, 0.0000
151, 761, 503, False, 39821.0000, 0.8042, 0.9652, 225.1703, 1331.3423, 28.0000, 14.1347, 0.0000
152, 567, 3406, False, 1345.0000, 0.9739, 0.8242, 41.3825, 145.8823, 103.0000, 94.7170, 0.0000
153, 683, 3825, False, 43736.0000, 0.9693, 0.7045, 235.9797, 827.7372, 138.0000, 55.6151, 0.0089
154, 614, 4426, False, 5889.0000, 0.9311, 0.9100, 86.5916, 353.5219, 78.0000, 66.4681, 0.0000
155, 621, 10875, False, 6303.0000, 0.9861, 0.8349, 89.5836, 319.4214, 10.0000, 5.8291, 0.0000
156, 788, 4605, False, 83800.0000, 0.9319, 0.9102, 326.6458, 1401.9941, 81.0000, 13.7460, 0.0891
157, 627, 752, False, 6374.0000, 0.9790, 0.8889, 90.0868, 336.5929, 29.0000, 23.1046, 0.0000
158, 830, 9381, False, 114696.0000, 0.9657, 0.7939, 382.1459, 1579.1312, 32.0000, 3.6459, 0.0030
159, 609, 3188, False, 757.0000, 0.9334, 0.9510, 31.0458, 138.6690, 95.0000, 86.7703, 0.0000
160, 677, 672, False, 12513.0000, 0.9178, 0.9137, 126.2222, 510.2325, 29.0000, 22.2679, 0.0000
161, 603, 3974, False, 1353.0000, 0.9797, 0.4929, 41.5053, 137.5391, 123.0000, 113.2046, 0.0000
162, 663, 9558, False, 4317.0000, 0.8093, 0.9802, 74.1389, 381.6051, 27.0000, 22.5017, 0.0000
163, 614, 3371, False, 1433.0000, 0.9541, 0.8384, 42.7148, 160.4680, 105.0000, 95.6268, 0.0000
164, 868, 805, False, 79670.0000, 0.6750, 0.9264, 318.4949, 2125.7657, 30.0000, 6.9951, 0.0016
165, 728, 5217, False, 28138.0000, 0.8033, 0.8177, 189.2787, 847.7615, 25.0000, 17.7496, 0.0000
166, 706, 3522, False, 24075.0000, 0.9865, 0.4647, 175.0807, 590.8843, 123.0000, 76.7455, 0.0000
167, 682, 11126, False, 13318.0000, 0.9785, 0.6193, 130.2191, 449.9310, 14.0000, 9.1481, 0.0000
168, 630, 3394, False, 256.0000, 0.9588, 0.6494, 18.0541, 59.2132, 111.0000, 99.4885, 0.0213
169, 644, 1762, False, 1180.0000, 0.9736, 0.6248, 38.7611, 129.9828, 44.0000, 39.8262, 0.0000
170, 667, 4001, False, 3958.0000, 0.9863, 0.4216, 70.9893, 235.4802, 129.0000, 115.8449, 0.0000
171, 665, 3279, False, 1652.0000, 0.9769, 0.7080, 45.8627, 156.1249, 106.0000, 97.3675, 0.0000
172, 654, 1805, False, 371.0000, 0.9611, 0.7857, 21.7341, 74.2843, 43.0000, 38.4083, 0.0001
